"","combined_pvalue","adjusted_pvalue"
"Farsa",0.351607201793413,1
"Hnrnpf",0.812544390927261,1
"Ptp4a2",0.45114580714267,1
"Dnajc30",0.91809589084967,1
"Dusp26",0.0725488970305322,1
"Hspbp1",0.264771402256815,1
"Tubg1",0.324566534925791,1
"Ccdc117",0.42484411917403,1
"Ccdc47",0.283006955689649,1
"Ptdss2",0.584508003728886,1
"Mbd1",0.698390805157513,1
"Spag7",0.355576702161553,1
"Cyp51",0.485168121632005,1
"Anp32b",0.754040067266378,1
"Fam98b",0.0105309611951968,0.820851447588963
"Adam19",0.0190583664360052,1
"Spry2",0.564540231196571,1
"Ccdc58",0.194920745024578,1
"Vipas39",0.098764615123493,1
"Dnm3",0.763394574649865,1
"Cd36",0.658223244524563,1
"Hpca",0.00152172936518619,0.180438523605566
"Dhx30",0.242645043315985,1
"Gkap1",0.022454611680184,1
"Cdv3",0.0297059913778888,1
"Golgb1",0.450363432164366,1
"Srsf2",0.776639831358288,1
"Cspg5",1.45171878669359e-05,0.00319199006629364
"Atf2",0.0441530430731684,1
"Psmb2",0.612061675828416,1
"Pafah1b1",0.0480255280302661,1
"Rad21",0.0985585266626223,1
"A730098P11Rik",0.00455244972094859,0.429110907532636
"Acadm",0.00145311735202508,0.173778705957902
"Ftsjd1",0.778377076164184,1
"Dync2h1",0.476232194859262,1
"Wdfy1",0.00924129689553016,0.744216352302179
"Mapk8ip1",1.25012795844648e-05,0.00278159243950276
"Ssr1",0.0153256657349372,1
"Dak",0.420662878695282,1
"Ogdh",0.104955349681236,1
"St7l",0.438464077205844,1
"Stam2",0.460432220741758,1
"Cryab",0.12639213308253,1
"Zfyve28",0.445893516354972,1
"Dtna",0.0161212186097125,1
"Srprb",0.287985839595777,1
"Fam126a",0.437392563320406,1
"Lrig2",0.355136418620398,1
"Psat1",8.0674356084387e-12,6.69652839446585e-09
"Tbc1d8",0.276836097950499,1
"Zdhhc14",0.303400892965132,1
"Nkrf",0.297091211215452,1
"Tuba8",0.159847135031104,1
"Noa1",0.807343338828956,1
"Tnfrsf21",0.480431375703077,1
"Gbp7",6.12131041610731e-06,0.00146724025284857
"Ltn1",0.485549147721888,1
"Med28",0.797342970580567,1
"Kpna6",0.113481968865308,1
"Epb4.1l4a",0.391978315104757,1
"Stip1",0.0723759408572551,1
"Abcb10",0.248423481524606,1
"Chadl",0.406412236644693,1
"Brsk2",0.0106065331255253,0.824350455072524
"Polr2g",0.131233901634571,1
"Lrp12",0.626927607814331,1
"Nrcam",0.115151712937208,1
"Gnb5",8.16896902455788e-06,0.0019009415273762
"Elovl5",9.11306918816024e-10,5.27412118964219e-07
"Slc30a9",0.15354151078827,1
"Dzip1",0.65830167769125,1
"Snapc2",0.43544672014147,1
"Lin7b",0.701756840947994,1
"Itm2a",2.88248275248648e-09,1.45029546592714e-06
"Cbr3",0.66064081333302,1
"Whsc1",0.515522804573516,1
"Map4",0.00233187841338928,0.252388144696068
"2610507B11Rik",0.497041726929218,1
"Ier5",0.000353593518214013,0.0510672604858771
